laser_name,year,doi_or_link,laser_type,facility,country,facility_status,demonstrated_status,peak_power_w,wavelength_m,rep_rate_s_inv,max_intensity_w_m2,pulse_energy_j,pulse_duration_fs,peak_power_w_num,wavelength_m_num,rep_rate_hz_num,max_intensity_w_m2_num,pulse_energy_j_num,pulse_duration_fs_num,year_num,peak_power_pw,wavelength_nm,wavelength_um,rep_rate_hz,max_intensity_w_cm2,pulse_duration_ps,record_id,source_kind,has_source,is_petawatt_class,is_multipetawatt_class,is_10pw_class,wavelength_band,facility_status_group,laser_type_label,demonstrated_label,completeness_score,fom_completeness_score,fom_missing_count
Chinese Academy of Engineering Physics PW Laser,2017,https://doi.org/10.1364/OL.42.002014 ; 10.1364/OL.42.002014,HY,"Mianyang, China",China,Operational / Demonstrated,Y,4900000000000000,8.000000000000001e-07,N/A,N/A,91.1,18.6,4900000000000000.0,8.000000000000001e-07,,,91.1,18.6,2017.0,4.9,800.0000000000001,0.8,,,0.018600000000000002,chinese-academy-of-engineering-physics-pw-laser-mianyang-china-2017-4ea1cd,doi,True,True,True,False,near_ir,operational,Hybrid solid-state / parametric laser,Demonstrated,1.0,0.6666666666666666,2
CoReLS 4 PW,2017,10.1364/OL.42.002058 ; https://doi.org/10.1364/OL.42.002058; https://opg.optica.org/spotlight/spotlight-modal.cfm?id=366646 ; https://doi.org/10.1364/OL.42.002058,HY,IBS CoReLS / GIST,South Korea,Operational / Demonstrated,Y,4200000000000000,8.000000000000001e-07,0.1,1000000000000000013287555072,83,19.4,4200000000000000.0,8.000000000000001e-07,0.1,1e+27,83.0,19.4,2017.0,4.2,800.0000000000001,0.8,0.1,1.0000000000000001e+23,0.0194,corels-4-pw-ibs-corels-gist-2017-027c63,doi,True,True,True,False,near_ir,operational,Hybrid solid-state / parametric laser,Demonstrated,1.0,1.0,0
LAP (TDLI),Commissioning,https://tdli.sjtu.edu.cn/en/research/astronomy-and-astrophysics-division/active,SS,Tsinghua University,China,Commissioning / Partial or design value,O,3000000000000000,8.000000000000001e-07,0.016666666666666666,N/A,75,25,3000000000000000.0,8.000000000000001e-07,0.016666666666666666,,75.0,25.0,,3.0000000000000004,800.0000000000001,0.8,0.016666666666666666,,0.025,lap-tdli-tsinghua-university-commissioning-ae49e3,url,True,True,True,False,near_ir,commissioning,Solid-state bulk laser,Other / partial / representative / operational context requiring interpretation,1.0,0.8333333333333334,1
CLAPA-II,Commissioning,The 2 PW/1 Hz laser system for laser-driven proton tumor therapy facility CLAPA-II: Compact laser plasma accelerator II.,SS,Peking University,China,Commissioning / In progress,O,2000000000000000,8.000000000000001e-07,0.016666666666666666,N/A,50,25,2000000000000000.0,8.000000000000001e-07,0.016666666666666666,,50.0,25.0,,2.0,800.0000000000001,0.8,0.016666666666666666,,0.025,clapa-ii-peking-university-commissioning-5988ea,other,True,True,True,False,near_ir,commissioning,Solid-state bulk laser,Other / partial / representative / operational context requiring interpretation,1.0,0.8333333333333334,1
Qiangguang,2012,10.1364/OE.21.029231,SS,SIOM State Key Lab,China,Design / Not demonstrated,N,2000000000000000,8.000000000000001e-07,N/A,N/A,52,26,2000000000000000.0,8.000000000000001e-07,,,52.0,26.0,2012.0,2.0,800.0000000000001,0.8,,,0.026000000000000002,qiangguang-siom-state-key-lab-2012-53e17f,doi,True,True,True,False,near_ir,demonstrated_only,Solid-state bulk laser,Not demonstrated / planned / not demonstrated at stated performance,1.0,0.6666666666666666,2
HF-2PW Arm,2023,https://ieeexplore.ieee.org/abstract/document/10231672; https://opg.optica.org/abstract.cfm?uri=ASSL-2023-AM3A.2,OP,"Szeged, Hungary",Hungary,Commissioning / Partial or design value,O,2000000000000000,8.000000000000001e-07,10,N/A,34,25000000,2000000000000000.0,8.000000000000001e-07,10.0,,34.0,25000000.0,2023.0,2.0,800.0000000000001,0.8,10.0,,25000.0,hf-2pw-arm-szeged-hungary-2023-1287df,url,True,True,True,False,near_ir,commissioning,Optical parametric laser,Other / partial / representative / operational context requiring interpretation,1.0,0.8333333333333334,1
LFEX,2016,https://doi.org/10.1063/1.4948278 ; https://www.ile.osaka-u.ac.jp/eng/facilities/lfex/index.html,HY,Osaka Univ. ILE,Japan,Operational / Demonstrated,Y,2000000000000000,1.0530000000000001e-06,N/A,N/A,2000,1000,2000000000000000.0,1.0530000000000001e-06,,,2000.0,1000.0,2016.0,2.0,1053.0000000000002,1.0530000000000002,,,1.0,lfex-osaka-univ-ile-2016-64f2db,doi,True,True,True,False,near_ir,operational,Hybrid solid-state / parametric laser,Demonstrated,1.0,0.6666666666666666,2
ZEUS,2025,https://doi.org/10.1063/5.0297619 ; The US has a new most powerful laser - Michigan Engineering News ; https://pubs.aip.org/aip/pop/article/32/10/103107/3369107 ; source,SS,University of Michigan / Center for Ultrafast Optical Science,USA,Operational / >2 PW,Y,2000000000000000,8.000000000000001e-07,0.1,N/A,5,25,2000000000000000.0,8.000000000000001e-07,0.1,,5.0,25.0,2025.0,2.0,800.0000000000001,0.8,0.1,,0.025,zeus-university-of-michigan-center-for-ultrafast-optical-science-2025-b883d5,doi,True,True,True,False,near_ir,operational,Solid-state bulk laser,Demonstrated,1.0,0.8333333333333334,1
SG-II 5 PW OPCPA,2018,10.1017/hpl.2018.23 ; https://doi.org/10.1017/hpl.2018.23,OP,SIOM/NLHPLP,China,Design / Not demonstrated,N,1760000000000000,8.000000000000001e-07,0.0002777777777777778,10000000000000000905969664,37,21,1760000000000000.0,8.000000000000001e-07,0.0002777777777777778,1e+25,37.0,21.0,2018.0,1.7600000000000002,800.0000000000001,0.8,0.0002777777777777778,1.0000000000000001e+21,0.021,sg-ii-5-pw-opcpa-siom-nlhplp-2018-3175e6,doi,True,True,False,False,near_ir,demonstrated_only,Optical parametric laser,Not demonstrated / planned / not demonstrated at stated performance,1.0,1.0,0
Shanghai Institute of Optics and Fine Mechanics 5 PW,2018,https://doi.org/10.1017/hpl.2018.23,OP,"Shanghai, China",China,Operational / Demonstrated,Y,1760000000000000,8.08e-07,0.0002777777777777778,N/A,37,21,1760000000000000.0,8.08e-07,0.0002777777777777778,,37.0,21.0,2018.0,1.7600000000000002,808.0,0.808,0.0002777777777777778,,0.021,shanghai-institute-of-optics-and-fine-mechanics-5-pw-shanghai-china-2018-41fb51,doi,True,True,False,False,near_ir,operational,Optical parametric laser,Demonstrated,1.0,0.8333333333333334,1
SG-II PW,2015,,SS,"Shanghai Institute of Optics and Fine Mechanics (SIOM), CAS",China,Operational / Demonstrated,Y,1500000000000000,8.000000000000001e-07,0.016666666666666666,N/A,45,30,1500000000000000.0,8.000000000000001e-07,0.016666666666666666,,45.0,30.0,2015.0,1.5000000000000002,800.0000000000001,0.8,0.016666666666666666,,0.03,sg-ii-pw-shanghai-institute-of-optics-and-fine-mechanics-siom-cas-2015-c700a4,missing,False,True,False,False,near_ir,operational,Solid-state bulk laser,Demonstrated,0.875,0.8333333333333334,1
Nova Petawatt,1996,10.1364/OL.24.000160,SS,LLNL,USA,Operational / Demonstrated,Y,1500000000000000,1.0530000000000001e-06,N/A,N/A,660,440,1500000000000000.0,1.0530000000000001e-06,,,660.0,440.0,1996.0,1.5000000000000002,1053.0000000000002,1.0530000000000002,,,0.44,nova-petawatt-llnl-1996-795c33,doi,True,True,False,False,near_ir,operational,Solid-state bulk laser,Demonstrated,1.0,0.6666666666666666,2
BELLA,2012,https://doi.org/10.1103/PhysRevLett.122.084801 ; Ref. 40 in paper ; https://doi.org/10.1109/JQE.2017.2708601 ; https://www.cambridge.org/core/journals/high-power-laser-science-and-engineering/article/petawatt-and-exawatt-class-lasers-worldwide/D85E3F002CBFC286C08076E127BB5F5C,SS,"Berkeley, USA",USA,Operational / Demonstrated,Y,1300000000000000,8.000000000000001e-07,1,N/A,40,30,1300000000000000.0,8.000000000000001e-07,1.0,,40.0,30.0,2012.0,1.3,800.0000000000001,0.8,1.0,,0.03,bella-berkeley-usa-2012-dbd05b,doi,True,True,False,False,near_ir,operational,Solid-state bulk laser,Demonstrated,1.0,0.8333333333333334,1
Xtreme Light III (XL-III),2011,https://doi.org/10.1364/OL.36.003194 ; https://doi.org/10.1364/OE.21.029231?urlappend=%3Futm_source%3Dresearchgate.net%26utm_medium%3Darticle,SS,"Beijing, China",China,Operational / Demonstrated,Y,1160000000000000,8.000000000000001e-07,N/A,N/A,32.3,28,1160000000000000.0,8.000000000000001e-07,,,32.3,28.0,2011.0,1.1600000000000001,800.0000000000001,0.8,,,0.028,xtreme-light-iii-xl-iii-beijing-china-2011-505045,doi,True,True,False,False,near_ir,operational,Solid-state bulk laser,Demonstrated,1.0,0.6666666666666666,2
PETAL,2015,https://doi.org/10.1364/OE.25.016957 ; 10.1364/OE.25.016957 ; https://ieeexplore.ieee.org/document/8083903; https://cea.hal.science/cea-01622289,SS,CEA / Laser Mégajoule,France,Operational / Demonstrated,Y,1150000000000000,1.0500000000000001e-06,N/A,N/A,850,7,1150000000000000.0,1.0500000000000001e-06,,,850.0,7.0,2015.0,1.1500000000000001,1050.0,1.05,,,0.007,petal-cea-laser-m-gajoule-2015-266014,doi,True,True,False,False,near_ir,operational,Solid-state bulk laser,Demonstrated,1.0,0.6666666666666666,2
RRCAT PW,2025,Article DOI ; https://www.icts.res.in/sites/default/files/LPA2017-2017-03-15-Chakera.pdf ; https://www.cambridge.org/core/journals/high-power-laser-science-and-engineering/article/high-power-laser-science-and-engineering-editorial-a-celebration-of-ultrahighpower-lasers/258451A1886C7848CAC5A125B9AB6961,HY,RRCAT Indore,India,Operational / Demonstrated,Y,1100000000000000.1,8.000000000000001e-07,0.1,N/A,25,25,1100000000000000.1,8.000000000000001e-07,0.1,,25.0,25.0,2025.0,1.1000000000000003,800.0000000000001,0.8,0.1,,0.025,rrcat-pw-rrcat-indore-2025-f011f0,other,True,True,False,False,near_ir,operational,Hybrid solid-state / parametric laser,Demonstrated,1.0,0.8333333333333334,1
Texas Petawatt,2010,10.1364/AO.49.001676 ; https://doi.org/10.1364/AO.49.001676; https://texaspetawatt.ph.utexas.edu/laser-capabilities.php ; https://doi.org/10.1364/AO.49.001676,HY,Univ. Texas at Austin,USA,Operational / Demonstrated,Y,1100000000000000.1,1.058e-06,0.0002777777777777778,N/A,186,167,1100000000000000.1,1.058e-06,0.0002777777777777778,,186.0,167.0,2010.0,1.1000000000000003,1058.0,1.058,0.0002777777777777778,,0.167,texas-petawatt-univ-texas-at-austin-2010-6533de,doi,True,True,False,False,near_ir,operational,Hybrid solid-state / parametric laser,Demonstrated,1.0,0.8333333333333334,1
SIOM CPA-OPCPA hybrid,2015,10.1364/OL.40.003412,HY,SIOM State Key Lab,China,Operational / Demonstrated,Y,1020000000000000,8.000000000000001e-07,N/A,N/A,45.3,32,1020000000000000.0,8.000000000000001e-07,,,45.3,32.0,2015.0,1.02,800.0000000000001,0.8,,,0.032,siom-cpa-opcpa-hybrid-siom-state-key-lab-2015-1da1b8,doi,True,True,False,False,near_ir,operational,Hybrid solid-state / parametric laser,Demonstrated,1.0,0.6666666666666666,2
SECUF,Commissioning,https://english.iop.cas.cn/rs/lsf/secuf/,SS,ShanghaiTech University,China,Commissioning / In progress,O,1000000000000000,8.000000000000001e-07,1,N/A,25,25,1000000000000000.0,8.000000000000001e-07,1.0,,25.0,25.0,,1.0,800.0000000000001,0.8,1.0,,0.025,secuf-shanghaitech-university-commissioning-abc50c,url,True,True,False,False,near_ir,commissioning,Solid-state bulk laser,Other / partial / representative / operational context requiring interpretation,1.0,0.8333333333333334,1
SULF 1 PW beamline,2020,https://doi.org/10.1017/hpl.2020.3,SS,Shanghai Superintense Ultrafast Laser Facility,China,Operational,Y,1000000000000000,8.000000000000001e-07,N/A,N/A,50.8,29.6,1000000000000000.0,8.000000000000001e-07,,,50.8,29.6,2020.0,1.0,800.0000000000001,0.8,,,0.0296,sulf-1-pw-beamline-shanghai-superintense-ultrafast-laser-facility-2020-55c973,doi,True,True,False,False,near_ir,operational,Solid-state bulk laser,Demonstrated,1.0,0.6666666666666666,2
ATLAS,2005,https://www.pulse.physik.uni-muenchen.de/research/high-power/atlas/index.html,SS,Ludwig Maximilian University Munich,Germany,Operational / Demonstrated,Y,1000000000000000,8.000000000000001e-07,5,N/A,25,25,1000000000000000.0,8.000000000000001e-07,5.0,,25.0,25.0,2005.0,1.0,800.0000000000001,0.8,5.0,,0.025,atlas-ludwig-maximilian-university-munich-2005-1febbf,url,True,True,False,False,near_ir,operational,Solid-state bulk laser,Demonstrated,1.0,0.8333333333333334,1
TRISHUL,Planned,https://amplitude-laser.com/news/the-tata-institute-of-fundamental-research-tifr-has-selected-amplitude-to-provide-the-first-1pw-1hz-laser-system-in-india/,SS,Bhabha Atomic Research Centre (BARC),India,Design / Not demonstrated,N,1000000000000000,8.000000000000001e-07,N/A,N/A,100,100,1000000000000000.0,8.000000000000001e-07,,,100.0,100.0,,1.0,800.0000000000001,0.8,,,0.1,trishul-bhabha-atomic-research-centre-barc-planned-2a54cb,url,True,True,False,False,near_ir,demonstrated_only,Solid-state bulk laser,Not demonstrated / planned / not demonstrated at stated performance,1.0,0.6666666666666666,2
J-KAREN-P,2018,https://doi.org/10.1364/OL.43.002595 ; 10.1364/OL.43.002595 ; https://doi.org/10.3390/photonics10090997,HY,"Kizugawa, Japan",Japan,Operational / Demonstrated,Y,1000000000000000,8.200000000000001e-07,0.1,100000000000000004764729344,63,30,1000000000000000.0,8.200000000000001e-07,0.1,1e+26,63.0,30.0,2018.0,1.0,820.0000000000001,0.8200000000000001,0.1,1e+22,0.03,j-karen-p-kizugawa-japan-2018-64b23a,doi,True,True,False,False,near_ir,operational,Hybrid solid-state / parametric laser,Demonstrated,1.0,1.0,0
CETAL,2018,https://www.scientificbulletin.upb.ro/static/pdfs/rez77c_579951.pdf ; https://cetal.inflpr.ro/newsite/equipment,SS,INFLPR Magurele,Romania,Operational / Demonstrated,Y,1000000000000000,8.000000000000001e-07,0.1,N/A,25,25,1000000000000000.0,8.000000000000001e-07,0.1,,25.0,25.0,2018.0,1.0,800.0000000000001,0.8,0.1,,0.025,cetal-inflpr-magurele-2018-676c8f,url,True,True,False,False,near_ir,operational,Solid-state bulk laser,Demonstrated,1.0,0.8333333333333334,1
EXLS,2016,https://doi.org/10.1364/OL.42.002058,SS,IBS CoReLS,South Korea,Design / Not demonstrated,N,1000000000000000,8.000000000000001e-07,0.1,N/A,31,22,1000000000000000.0,8.000000000000001e-07,0.1,,31.0,22.0,2016.0,1.0,800.0000000000001,0.8,0.1,,0.022,exls-ibs-corels-2016-59f081,doi,True,True,False,False,near_ir,demonstrated_only,Solid-state bulk laser,Not demonstrated / planned / not demonstrated at stated performance,1.0,0.8333333333333334,1
VEGA-3,2018,10.1051/epjconf/201816701001 ; https://www.clpu.es/en/laser-vega-pw/,SS,CLPU Salamanca,Spain,Operational / Demonstrated,Y,1000000000000000,8.000000000000001e-07,1,N/A,30,30,1000000000000000.0,8.000000000000001e-07,1.0,,30.0,30.0,2018.0,1.0,800.0000000000001,0.8,1.0,,0.03,vega-3-clpu-salamanca-2018-d9a74b,doi,True,True,False,False,near_ir,operational,Solid-state bulk laser,Demonstrated,1.0,0.8333333333333334,1
Diocles,2012,https://doi.org/10.1117/12.2005008 ; https://www.researching.cn/articles/OJ2151e170fd94be69,SS,Univ. Nebraska-Lincoln,USA,Operational / Demonstrated,Y,1000000000000000,8.000000000000001e-07,0.1,N/A,30,30,1000000000000000.0,8.000000000000001e-07,0.1,,30.0,30.0,2012.0,1.0,800.0000000000001,0.8,0.1,,0.03,diocles-univ-nebraska-lincoln-2012-551ff7,doi,True,True,False,False,near_ir,operational,Solid-state bulk laser,Demonstrated,1.0,0.8333333333333334,1
MEC-U high-repetition-rate petawatt laser,Not yet demonstrated,https://doi.org/10.1364/CLEO_SI.2023.STu4H.2,SS,SLAC National Accelerator Laboratory,USA,Commissioning / Partial or design value,O,1000000000000000,1.0530000000000001e-06,10,N/A,150,150,1000000000000000.0,1.0530000000000001e-06,10.0,,150.0,150.0,,1.0,1053.0000000000002,1.0530000000000002,10.0,,0.15,mec-u-high-repetition-rate-petawatt-laser-slac-national-accelerator-laboratory-not-yet-demonstrated-7dd13f,doi,True,True,False,False,near_ir,commissioning,Solid-state bulk laser,Other / partial / representative / operational context requiring interpretation,1.0,0.8333333333333334,1
Z-Petawatt (Z-PW),2015,https://www.osti.gov/servlets/purl/1836404,SS,Sandia National Laboratories,USA,Operational / Demonstrated,Y,1000000000000000,1.054e-06,N/A,N/A,500,500,1000000000000000.0,1.054e-06,,,500.0,500.0,2015.0,1.0,1054.0,1.054,,,0.5,z-petawatt-z-pw-sandia-national-laboratories-2015-da91a1,url,True,True,False,False,near_ir,operational,Solid-state bulk laser,Demonstrated,1.0,0.6666666666666666,2
EPAC 1 PW beamline,2026,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/0/PC138730/Progress-on-commissioning-the-Extreme-Photonics-Applications-Centre--a/10.1117/12.3080604.full,OP,"Extreme Photonics Applications Centre, STFC Rutherford Appleton Laboratory",United Kingdom,Commissioning / User Facility Coming Online,O,1000000000000000,8.000000000000001e-07,N/A,N/A,3,3,1000000000000000.0,8.000000000000001e-07,,,3.0,3.0,2026.0,1.0,800.0000000000001,0.8,,,0.003,epac-1-pw-beamline-extreme-photonics-applications-centre-stfc-rutherford-appleton-laboratory-2026-551ae4,url,True,True,False,False,near_ir,commissioning,Optical parametric laser,Other / partial / representative / operational context requiring interpretation,1.0,0.6666666666666666,2
Orion PW beams,2013,10.1088/0741-3335/57/6/064002 ; https://doi.org/10.1017/hpl.2022.7 ; Optica Publishing Group),SS,AWE Aldermaston,United Kingdom,Operational / Demonstrated,Y,1000000000000000,1.0530000000000001e-06,N/A,N/A,500,500,1000000000000000.0,1.0530000000000001e-06,,,500.0,500.0,2013.0,1.0,1053.0000000000002,1.0530000000000002,,,0.5,orion-pw-beams-awe-aldermaston-2013-75bc73,doi,True,True,False,False,near_ir,operational,Solid-state bulk laser,Demonstrated,1.0,0.6666666666666666,2
Vulcan Petawatt,2004,10.1088/0029-5515/44/12/S15 ; https://www.researchgate.net/publication/30416796_Vulcan_petawatt-operation_and_development; https://ieeexplore.ieee.org/document/8872259 ; https://www.clf.stfc.ac.uk/Pages/Vulcan-laser.aspx,SS,STFC Rutherford Appleton Lab,United Kingdom,Operational / Demonstrated,Y,1000000000000000,1.0530000000000001e-06,0.3333333333333333,N/A,500,500,1000000000000000.0,1.0530000000000001e-06,0.3333333333333333,,500.0,500.0,2004.0,1.0,1053.0000000000002,1.0530000000000002,0.3333333333333333,,0.5,vulcan-petawatt-stfc-rutherford-appleton-lab-2004-c0ac0b,doi,True,True,False,False,near_ir,operational,Solid-state bulk laser,Demonstrated,1.0,0.8333333333333334,1
GEKKO XII PW beam,2004,10.1109/JQE.2003.823043 ; https://lf-lab.net/en/introduce/device/,HY,Osaka Univ. ILE,Japan,Design / Not demonstrated,N,900000000000000,1.0530000000000001e-06,3.472222222222222e-05,N/A,420,470,900000000000000.0,1.0530000000000001e-06,3.472222222222222e-05,,420.0,470.0,2004.0,0.9,1053.0000000000002,1.0530000000000002,3.472222222222222e-05,,0.47000000000000003,gekko-xii-pw-beam-osaka-univ-ile-2004-cc5f39,doi,True,False,False,False,near_ir,demonstrated_only,Hybrid solid-state / parametric laser,Not demonstrated / planned / not demonstrated at stated performance,1.0,0.8333333333333334,1
ALEPH,2017,10.1364/OL.42.003828 ; https://doi.org/10.1364/OL.42.003828; https://lasers.colostate.edu/aleph/ ; https://doi.org/10.1364/OL.42.003828,SS,Colorado State Univ.,USA,Operational / Demonstrated,Y,870000000000000,8.000000000000001e-07,3.3,65000000000000000520093696,26,30,870000000000000.0,8.000000000000001e-07,3.3,6.5e+25,26.0,30.0,2017.0,0.8700000000000001,800.0000000000001,0.8,3.3,6.5e+21,0.03,aleph-colorado-state-univ-2017-d5c3d3,doi,True,False,False,False,near_ir,operational,Solid-state bulk laser,Demonstrated,1.0,1.0,0
J-KAREN,2003,10.1364/OL.28.001594,SS,QST/KPSI,Japan,Operational / Demonstrated,Y,850000000000000,8.000000000000001e-07,N/A,N/A,28.05,33,850000000000000.0,8.000000000000001e-07,,,28.05,33.0,2003.0,0.8500000000000001,800.0000000000001,0.8,,,0.033,j-karen-qst-kpsi-2003-1aada3,doi,True,False,False,False,near_ir,operational,Solid-state bulk laser,Demonstrated,1.0,0.6666666666666666,2
