facility,records,countries,petawatt_records,fom_completeness
"Linac Coherent Light Source, SLAC",1,USA,0,0.6666666666666666
"Lisbon, Portugal",1,Portugal,0,0.3333333333333333
"Livermore, USA",1,USA,0,0.6666666666666666
"Los Alamos, USA",1,USA,0,0.6666666666666666
Ludwig Maximilian University (LMU Munich) / Max Planck Institute of Quantum Optics (MPQ),1,Germany,0,0.8333333333333334
Ludwig Maximilian University Munich,1,Germany,1,0.8333333333333334
"Magurele, Romania",1,Romania,1,0.8333333333333334
Max Born Institute (MBI),1,Germany,0,0.8333333333333334
Max Planck Institute,1,Germany,0,0.6666666666666666
"Mianyang, China",1,China,1,0.6666666666666666
NRC Canada / attoscience group,1,Canada,0,0.8333333333333334
Naval Research Laboratory,1,USA,0,0.8333333333333334
Ohio State Univ.,1,USA,0,1.0
"Palaiseau, France",1,France,0,0.3333333333333333
Paul Scherrer Institute / SwissFEL,1,Switzerland,0,0.6666666666666666
Peking University,1,China,1,0.8333333333333334
"Pisa, Italy",1,Italy,0,0.6666666666666666
Pohang Accelerator Laboratory / PAL-XFEL,1,South Korea,0,0.6666666666666666
"Prague, Czechia",1,Czech Republic,0,0.8333333333333334
QST/KPSI,1,Japan,0,0.6666666666666666
RIKEN SPring-8,1,Japan,0,0.8333333333333334
RRCAT Indore,1,India,1,0.8333333333333334
Ruhr University Bochum / collaborators,1,Germany,0,0.8333333333333334
SACLA / RIKEN SPring-8 Center,1,Japan,0,0.6666666666666666
SIOM / ShanghaiTech,1,China,1,0.6666666666666666
"SIOM, Chinese Academy of Sciences",1,China,0,0.8333333333333334
SIOM/NLHPLP,1,China,1,1.0
SLAC National Accelerator Laboratory,1,USA,1,0.8333333333333334
Sandia National Laboratories,1,USA,1,0.6666666666666666
"Sarov, Russia",1,Russia,0,0.6666666666666666
Shanghai High-Repetition-Rate XFEL and Extreme Light Facility,1,China,0,0.16666666666666666
Shanghai Institute of Optics and Fine Mechanics,1,China,1,0.6666666666666666
Shanghai Institute of Optics and Fine Mechanics (SIOM) / ShanghaiTech University,1,China,1,1.0
"Shanghai Institute of Optics and Fine Mechanics (SIOM), CAS",1,China,1,0.8333333333333334
Shanghai Jiao Tong University-related mid-IR group,1,China,0,0.8333333333333334
Shanghai Soft X-Ray Free-Electron Laser Facility,1,China,0,0.16666666666666666
Shanghai Superintense Ultrafast Laser Facility,1,China,1,0.6666666666666666
"Shanghai, China",1,China,1,0.8333333333333334
ShanghaiTech University,1,China,1,0.8333333333333334
"Szeged, Hungary",1,Hungary,1,0.8333333333333334
Thomas Jefferson National Accelerator Facility,1,USA,0,0.6666666666666666
Tsinghua University,1,China,1,0.8333333333333334
UCLA Neptune Laboratory,1,USA,0,0.6666666666666666
Univ. Nebraska-Lincoln,1,USA,1,0.8333333333333334
Univ. Strathclyde,1,United Kingdom,0,0.8333333333333334
Univ. Texas at Austin,1,USA,1,0.8333333333333334
University of Michigan / Center for Ultrafast Optical Science,1,USA,1,0.8333333333333334
"University of Rochester, Laboratory for Laser Energetics",1,USA,1,0.6666666666666666
"Upton, USA",1,USA,0,0.6666666666666666
"Varennes, Canada",1,Canada,0,0.8333333333333334
"Warsaw, Poland",1,Poland,0,0.6666666666666666
